tconst,ordering,nconst,category,job,characters
tt0000301,2,nm0324473,writer,play,
tt0000302,1,nm0349785,director,,
tt0000303,1,nm0349785,director,,
tt0000304,1,nm2940072,actor,,"[""Willy - the little grandson""]"
tt0000304,2,nm0808310,director,,
tt0000304,3,nm0808310,producer,producer,
tt0000305,1,nm0112631,actress,,
tt0000305,2,nm0349785,director,,
tt0000306,1,nm0076800,actress,,"[""Hamlet""]"
tt0000306,2,nm0536252,actor,,"[""Laertes""]"
tt0000306,3,nm1267013,actress,,"[""A page""]"
tt0000306,4,nm0561109,director,,
tt0000306,5,nm0000636,writer,"play ""Hamlet""",
tt0000306,6,nm5670483,producer,producer,
tt0000306,7,nm0561109,producer,producer,
tt0000307,1,nm0085865,actor,,"[""Happy Hooligan""]"
tt0000307,2,nm0085865,director,,
tt0000307,3,nm1112850,writer,"comic strip ""Happy Hooligan""",
tt0000308,1,nm2940350,actress,,"[""Little girl""]"
tt0000308,2,nm2940072,actor,,"[""Little brother""]"
tt0000308,3,nm0808310,director,,
tt0000308,4,nm0808310,producer,producer,
tt0000308,5,nm0808310,editor,,
tt0000309,1,nm0164281,actress,,"[""Passenger""]"
tt0000309,2,nm0378408,actor,,"[""Driver""]"
tt0000309,3,nm0378408,director,,
tt0000309,4,nm0378408,producer,producer,
tt0000310,1,nm0335788,actor,,"[""Chimmie Hicks""]"
tt0000310,2,nm0151209,actress,,
tt0000310,3,nm0035502,cinematographer,,
tt0000312,1,nm0349785,director,,
tt0000313,1,nm0809419,actress,,"[""Young woman""]"
tt0000313,2,nm0338379,actor,,"[""Man""]"
tt0000313,3,nm0808310,director,,
tt0000313,4,nm0808310,producer,producer,
tt0000314,1,nm0349785,director,,
tt0000315,1,nm0349785,director,,
tt0000316,1,nm0349785,director,,
tt0000317,1,nm0349785,director,,
tt0000318,1,nm13155558,actor,,
tt0000318,2,nm0804433,actor,,"[""Koechin""]"
tt0000318,3,nm0804434,director,,
tt0000318,4,nm0804433,writer,,
tt0000318,5,nm0804434,cinematographer,,
tt0000319,1,nm1272063,actor,,
tt0000319,2,nm1272675,actor,,
tt0000319,3,nm0793094,director,,
tt0000319,4,nm0793094,cinematographer,,
tt0000320,1,nm0349785,director,,
tt0000321,1,nm0692105,director,,
tt0000322,1,nm0005717,director,,
tt0000322,2,nm0005717,cinematographer,,
tt0000323,1,nm0349785,director,,
tt0000324,1,nm0349785,director,,
tt0000325,1,nm0112631,actress,,
tt0000325,2,nm0349785,director,,
tt0000326,1,nm0112631,actress,,
tt0000326,2,nm0349785,director,,
tt0000327,1,nm0349785,director,,
tt0000328,1,nm0349785,director,,
tt0000329,1,nm0349785,director,,
tt0000330,1,nm0349785,director,,
tt0000331,1,nm0349785,director,,
tt0000332,1,nm0349785,director,,
tt0000333,1,nm0349785,director,,
tt0000334,1,nm0349785,director,,
tt0000335,1,nm1010955,actress,,
tt0000335,2,nm1012612,actor,,
tt0000335,3,nm1011210,actor,,
tt0000335,4,nm1012621,actor,,
tt0000335,5,nm0675239,actor,,"[""Lion""]"
tt0000335,6,nm0675260,actor,,"[""Lion""]"
tt0000335,7,nm0095714,director,,
tt0000335,8,nm0675140,director,,
tt0000336,1,nm0349785,director,,
tt0000337,1,nm0525910,producer,producer,
tt0000338,1,nm0349785,director,,
tt0000339,1,nm0349785,director,,
tt0000340,1,nm0542567,actor,,"[""Uncle Josh""]"
tt0000340,2,nm0692105,director,,
tt0000341,1,nm0542567,actor,,"[""Uncle Josh""]"
tt0000341,2,nm0692105,director,,
tt0000341,3,nm0692105,cinematographer,,
tt0000342,1,nm0349785,director,,
tt0000343,1,nm0349785,director,,
tt0000344,1,nm0349785,director,,
tt0000345,1,nm0349785,director,,
tt0000346,1,nm0692105,director,,
tt0000346,2,nm0692105,cinematographer,,
tt0000347,1,nm0168621,actor,,
tt0000347,2,nm0035502,cinematographer,,
tt0000348,1,nm0349785,director,,
tt0000349,1,nm0095816,director,,
tt0000349,2,nm0666972,producer,producer,
tt0000350,1,nm0666972,director,,
tt0000350,2,nm0666972,producer,producer,
tt0000351,1,nm0462306,actress,,
tt0000351,2,nm0815907,actress,,
tt0000351,3,nm0349785,director,,
tt0000352,1,nm0692105,director,,
tt0000354,1,nm0182052,director,,
tt0000355,1,nm0932055,director,,
tt0000355,2,nm0932055,producer,producer,
tt0000355,3,nm0932055,cinematographer,,
tt0000356,1,nm0349785,director,,
tt0000357,1,nm0095816,director,,
tt0000357,2,nm0666972,producer,producer,
tt0000358,1,nm0509806,actor,,
tt0000358,2,nm1778194,actor,,
tt0000358,3,nm0954087,actor,,
tt0000358,4,nm0954087,director,,
tt0000358,5,nm0954087,writer,,
tt0000358,6,nm0954087,cinematographer,,
tt0000359,1,nm0617588,actor,,"[""The Chemist""]"
tt0000359,2,nm0617588,actor,,"[""The India Rubber Head""]"
tt0000360,1,nm0462306,actress,,"[""La Grisette""]"
tt0000360,2,nm0815907,actress,,"[""Le Hussard""]"
tt0000360,3,nm0349785,director,,
tt0000361,1,nm0349785,director,,
tt0000362,1,nm0349785,director,,
tt0000363,1,nm0095816,director,,
tt0000363,2,nm0095816,writer,,
tt0000363,3,nm0666972,producer,producer,
tt0000364,1,nm0692105,director,,
tt0000364,2,nm0692105,cinematographer,,
tt0000364,3,nm0924920,cinematographer,,
tt0000365,1,nm0182052,director,,
tt0000366,1,nm0182052,director,,
tt0000367,1,nm0349785,director,,
tt0000368,1,nm1089829,actress,,"[""Little Red Riding Hood""]"
tt0000368,2,nm0617588,director,,
tt0000368,3,nm0674518,writer,"story ""Le petit chaperon rouge""",
tt0000369,1,nm0005717,director,,
tt0000369,2,nm0005717,cinematographer,,
tt0000370,1,nm8709803,actor,,"[""Ebenezer Scrooge""]"
tt0000370,2,nm0095816,director,,
tt0000370,3,nm1304340,writer,play 'Scrooge',
tt0000370,4,nm0002042,writer,"novel ""A Christmas Carol""",
tt0000370,5,nm0666972,producer,producer,
tt0000371,1,nm0349785,director,,
tt0000372,1,nm0349785,director,,
tt0000373,1,nm0954087,director,,
tt0000374,1,nm0349785,director,,
tt0000375,1,nm0182052,director,,
tt0000376,1,nm0617272,actress,,"[""Salome""]"
tt0000376,2,nm0086082,actress,,
tt0000376,3,nm0632577,actress,,
tt0000376,4,nm0631776,actress,,
tt0000376,5,nm0078562,actress,,"[""Táncos""]"
tt0000376,6,nm0051042,actress,,
tt0000376,7,nm0466448,actor,,
tt0000376,8,nm0373707,actor,,
tt0000376,9,nm0892975,actor,,
tt0000376,10,nm8355538,actress,,
tt0000376,11,nm0958169,director,,
tt0000376,12,nm0670740,writer,,
tt0000376,13,nm0449435,composer,,
tt0000376,14,nm0958169,cinematographer,,
tt0000377,1,nm0095816,director,,
tt0000377,2,nm0666972,producer,producer,
tt0000378,1,nm0462306,actress,,
tt0000378,2,nm0815907,actress,,
tt0000378,3,nm0349785,director,,
tt0000379,1,nm0005717,director,,
tt0000379,2,nm0005717,cinematographer,,
tt0000380,1,nm0674518,writer,tale,
tt0000381,1,nm0168621,actor,,
tt0000381,2,nm0002615,producer,producer,
tt0000382,1,nm0005717,director,,
tt0000382,2,nm0005717,cinematographer,,
tt0000383,1,nm0005717,director,,
tt0000383,2,nm0005717,cinematographer,,
tt0000384,1,nm0349785,director,,
tt0000385,1,nm0349785,director,,
tt0000386,1,nm0349785,director,,
tt0000387,1,nm5394591,actor,,"[""Attendant Bearing King Edward's Sword""]"
tt0000387,2,nm0617588,director,,
tt0000387,3,nm0881616,director,,
tt0000388,1,nm0260089,actress,,
tt0000388,2,nm0349785,director,,
tt0000389,1,nm0349785,director,,
tt0000390,1,nm0349785,director,,
tt0000391,1,nm0349785,director,,
tt0000392,1,nm0095816,director,,
tt0000392,2,nm0666972,producer,producer,
tt0000393,1,nm0349785,director,,
tt0000394,1,nm0349785,director,,
tt0000395,1,nm0349785,director,,
tt0000396,1,nm0349785,director,,
tt0000397,1,nm0349785,director,,
tt0000398,1,nm0349785,director,,
tt0000399,1,nm0924920,actor,,"[""Farmer""]"
tt0000399,2,nm0925513,actor,,"[""Jack""]"
tt0000399,3,nm2092030,director,,
tt0000399,4,nm0692105,director,,
tt0000399,5,nm0692105,cinematographer,,
tt0000400,1,nm0349785,director,,
tt0000401,1,nm0349785,director,,
tt0000402,1,nm0338379,actor,,
tt0000402,2,nm0808310,director,,
tt0000402,3,nm0808310,producer,producer,
tt0000403,1,nm0349785,director,,
tt0000404,1,nm0349785,director,,
tt0000405,1,nm0349785,director,,
tt0000406,1,nm0035502,cinematographer,,
tt0000407,1,nm0005717,director,,
tt0000407,2,nm0005717,cinematographer,,
tt0000408,1,nm0349785,director,,
tt0000409,1,nm0349785,actress,,
tt0000409,2,nm4905952,actress,,
tt0000409,3,nm4906549,actress,,
tt0000409,4,nm0349785,director,,
tt0000409,5,nm0349785,producer,producer,
tt0000411,1,nm0349785,director,,
tt0000412,1,nm0555522,director,,
tt0000412,2,nm0555522,cinematographer,,
tt0000413,1,nm0617588,actor,,"[""The Blonde Miser""]"
tt0000413,2,nm0617588,actor,,"[""Thief""]"
tt0000413,3,nm0617588,director,,
tt0000413,4,nm0617588,writer,,
tt0000413,5,nm0617588,producer,producer,
tt0000414,1,nm0542567,actor,,"[""Uncle Josh""]"
tt0000414,2,nm0692105,director,,
tt0000414,3,nm0692105,cinematographer,,
tt0000415,1,nm0349785,director,,
tt0000416,1,nm0954087,director,,
tt0000416,2,nm0954087,writer,,
tt0000416,3,nm0957652,writer,"novel ""L'Assommoir""",
tt0000417,1,nm0617588,actor,,"[""Prof. Barbenfouillis""]"
tt0000417,2,nm0617588,actor,,"[""The Moon""]"
tt0000417,3,nm0029244,actor,,"[""Astronomer - Nostradamus""]"
tt0000417,4,nm0076933,actress,,"[""Lady in the Moon""]"
tt0000417,5,nm1215996,actor,,"[""Astronomer- Alcofrisbas""]"
tt0000417,6,nm0194945,actress,,"[""Secretary""]"
tt0000417,7,nm0194945,actress,,"[""Star""]"
tt0000417,8,nm0194945,actress,,"[""Rocket Attendant""]"
tt0000417,9,nm0216378,actor,,"[""Captain of the Rocket""]"
tt0000417,10,nm0220092,actor,,"[""Astronomer - Micromegas""]"
tt0000417,11,nm1216405,actor,,"[""Astronomer - Parafaragaramus""]"
tt0000417,12,nm1216905,actor,,"[""Astronomer - Omega""]"
tt0000417,13,nm2083046,actor,,"[""Officer of the Marines""]"
tt0000417,14,nm0617588,producer,producer,
tt0000417,15,nm0242155,composer,composer,
tt0000417,16,nm0324073,composer,composer,
tt0000417,17,nm9991717,composer,composer,
tt0000417,18,nm4491570,composer,composer,
tt0000418,1,nm0353576,director,,
tt0000419,1,nm0349785,director,,
tt0000420,1,nm0164281,actress,,"[""Alice""]"
tt0000420,2,nm0378408,actor,,"[""Frog""]"
tt0000420,3,nm1012587,actor,,"[""Large Dog""]"
tt0000420,4,nm0265714,actor,,"[""Card""]"
tt0000420,5,nm1539007,actor,,"[""Card""]"
tt0000420,6,nm1539443,actress,,"[""White Rabbit""]"
tt0000420,7,nm1539443,actress,,"[""Queen""]"
tt0000420,8,nm0926498,actor,,"[""Fish""]"
tt0000420,9,nm0926498,actor,,"[""Mad Hatter""]"
tt0000420,10,nm0378408,director,,
tt0000420,11,nm0832948,director,,
tt0000420,12,nm0140902,writer,"novel ""Alice's Adventures in Wonderland""",
tt0000420,13,nm0378408,writer,writer,
tt0000420,14,nm0378408,producer,producer,
tt0000420,15,nm0378408,cinematographer,,
tt0000421,1,nm0954087,actor,,
tt0000421,2,nm0349785,director,,
tt0000422,1,nm0954087,actor,,"[""Traveler""]"
tt0000422,2,nm0349785,director,,
tt0000423,1,nm0617588,actor,,
tt0000424,1,nm0349785,director,,
tt0000425,1,nm0168621,actor,,
tt0000425,2,nm0783152,producer,producer,
tt0000426,1,nm0168621,actor,,
tt0000426,2,nm0002615,producer,producer,
tt0000427,1,nm0349785,director,,
tt0000428,1,nm0005717,director,,
tt0000428,2,nm0005717,cinematographer,,
tt0000429,1,nm0349785,director,,
tt0000430,1,nm10102653,actor,,"[""Chess Player""]"
tt0000430,2,nm0666972,director,,
tt0000430,3,nm0666972,producer,producer,
tt0000431,1,nm0349785,director,,
tt0000432,1,nm0954087,actor,,
tt0000432,2,nm0349785,director,,
tt0000433,1,nm0349785,director,,
tt0000434,1,nm2940350,actress,,"[""Dorothy""]"
tt0000434,2,nm0808310,director,,
tt0000434,3,nm0808310,producer,producer,
tt0000435,1,nm0349785,director,,
tt0000436,1,nm0095816,director,,
tt0000436,2,nm0666972,director,,
tt0000436,3,nm0666972,producer,producer,
tt0000437,1,nm0349785,director,,
tt0000438,1,nm0349785,director,,
tt0000439,1,nm0001908,actor,,"[""Bandit""]"
tt0000439,2,nm0001908,actor,,"[""Shot Passenger""]"
tt0000439,3,nm0001908,actor,,"[""Tenderfoot Dancer""]"
tt0000439,4,nm0007625,actor,,"[""Sheriff""]"
tt0000439,5,nm0055607,actor,,
tt0000439,6,nm0055661,actor,,"[""Bandit Who Fires at Camera""]"
tt0000439,7,nm0131750,actor,,"[""Sheriff""]"
tt0000439,8,nm2313241,actor,,"[""Fourth Bandit""]"
tt0000439,9,nm0302368,actor,,"[""Little Boy""]"
tt0000439,10,nm7715443,actor,,"[""Child""]"
tt0000439,11,nm0359294,actor,,"[""Bandit""]"
tt0000439,12,nm3128574,actor,,"[""Bandit""]"
tt0000439,13,nm0692105,producer,producer,
tt0000439,14,nm0807466,cinematographer,,
tt0000440,1,nm0617588,actor,,"[""Musketeer""]"
tt0000441,1,nm0159015,director,,
tt0000441,2,nm0842605,writer,"novel ""The Travels of Gulliver""",
tt0000441,3,nm0159015,writer,,
tt0000441,4,nm0159015,cinematographer,,
tt0000442,1,nm0622273,actress,,"[""Barnemordersken""]"
tt0000442,2,nm1854449,actor,,
tt0000442,3,nm0253298,director,,
tt0000442,4,nm1856940,writer,writer,
tt0000442,5,nm1857036,writer,writer,
tt0000442,6,nm0253298,producer,producer,
tt0000442,7,nm0253298,cinematographer,,
tt0000443,1,nm0742777,director,,
tt0000443,2,nm3887135,writer,scenario,
tt0000443,3,nm0519303,writer,"poem ""The Song of Hiawatha""",
tt0000443,4,nm0742777,producer,producer,
tt0000443,5,nm0742777,cinematographer,,
tt0000444,1,nm0954087,actor,,"[""Magician""]"
tt0000444,2,nm0349785,director,,
tt0000445,1,nm0349785,director,,
tt0000446,1,nm0567363,director,,
tt0000447,1,nm0692105,actor,,"[""Policeman""]"
tt0000447,2,nm0891119,actress,,"[""The Girl""]"
tt0000447,3,nm0924475,actor,,"[""The Fireman""]"
tt0000447,4,nm0924920,actor,,"[""Fire Chief""]"
tt0000448,1,nm0349785,director,,
tt0000449,1,nm0349785,director,,
tt0000450,1,nm0349785,director,,
tt0000451,1,nm0809419,actress,,"[""Mary Jane""]"
tt0000451,2,nm0808310,director,,
tt0000451,3,nm0808310,producer,producer,
tt0000452,1,nm0001908,actor,,"[""Messenger Boy""]"
tt0000452,2,nm0692105,director,,
tt0000452,3,nm0692105,cinematographer,,
tt0000453,1,nm0349785,director,,
tt0000454,1,nm0349785,director,,
tt0000455,1,nm0617588,actor,,"[""The Melomaniac""]"
tt0000455,2,nm0617588,director,,
tt0000456,1,nm0005658,cinematographer,,
tt0000457,1,nm0349785,director,,
tt0000458,1,nm0349785,director,,
tt0000459,1,nm0692105,cinematographer,,
tt0000460,1,nm0567363,director,,
tt0000461,1,nm0349785,director,,
tt0000462,1,nm0349785,director,,
tt0000463,1,nm0005717,director,,
tt0000463,2,nm0005717,cinematographer,,
tt0000464,1,nm0420198,actor,,"[""Rip Van Winkle""]"
tt0000465,1,nm0617588,actor,,"[""Prince Bel-Azor""]"
tt0000465,2,nm9473330,actress,,"[""Princess Azurine""]"
tt0000465,3,nm0076933,actress,,"[""Aurora""]"
tt0000465,4,nm0214243,actor,,"[""Role""]"
tt0000465,5,nm0243651,actor,,"[""Extra""]"
